RegionName,State,Metro,avg_rent
Rockville Centre,NY,"New York-Newark-Jersey City, NY-NJ-PA",3021.812770416362
Ossining,NY,"New York-Newark-Jersey City, NY-NJ-PA",3021.0889183058666
Tequesta,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3015.1500516108604
Glen Cove,NY,"New York-Newark-Jersey City, NY-NJ-PA",3012.380828866485
Pacifica,CA,"San Francisco-Oakland-Berkeley, CA",3009.5160210040954
Saugus,MA,"Boston-Cambridge-Newton, MA-NH",3007.0286097493245
Port Jefferson Station,NY,"New York-Newark-Jersey City, NY-NJ-PA",3003.9465552864262
Cooper City,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",3002.8469872488713
Riverdale,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2997.75
Wynnewood,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2996.29337163891
Stoneham,MA,"Boston-Cambridge-Newton, MA-NH",2994.759973256153
Indialantic,FL,"Palm Bay-Melbourne-Titusville, FL",2991.978093177449
Royal Palm Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2989.8720818166803
Osprey,FL,"North Port-Sarasota-Bradenton, FL",2989.531290959481
Coram,NY,"New York-Newark-Jersey City, NY-NJ-PA",2988.659328274038
Old Bridge,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2988.6524615078315
Duarte,CA,"Los Angeles-Long Beach-Anaheim, CA",2984.2310508581268
Steamboat Springs,CO,"Steamboat Springs, CO",2983.333333333333
Park Ridge,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2981.801002217223
Monroe Township,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2977.8319610762323
Walpole,MA,"Boston-Cambridge-Newton, MA-NH",2977.7143998940705
Howell,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2973.4873629156014
Saint Pete Beach,FL,"Tampa-St. Petersburg-Clearwater, FL",2970.8364743360166
Dedham,MA,"Boston-Cambridge-Newton, MA-NH",2970.3957516536984
Needham,MA,"Boston-Cambridge-Newton, MA-NH",2968.793817827617
Kensington,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2966.666666666667
Hopkinton,MA,"Boston-Cambridge-Newton, MA-NH",2964.0389788130096
West Carson,CA,"Los Angeles-Long Beach-Anaheim, CA",2960.16297663332
Clarendon Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2956.6666666666665
Valley Stream,NY,"New York-Newark-Jersey City, NY-NJ-PA",2950.0
Andover,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",2949.0
Saint Simons Island,GA,"Brunswick, GA",2948.5009284466896
Novato,CA,"San Francisco-Oakland-Berkeley, CA",2946.903338585431
Winchester,CA,"Riverside-San Bernardino-Ontario, CA",2946.2387398247847
Castaic,CA,"Los Angeles-Long Beach-Anaheim, CA",2945.289641685137
Ave Maria,FL,"Naples-Marco Island, FL",2942.09928337642
Madison,CT,"New Haven-Milford, CT",2940.0
Jessup,MD,"Baltimore-Columbia-Towson, MD",2937.50125588836
Treasure Island,FL,"Tampa-St. Petersburg-Clearwater, FL",2935.7196619208835
Newark,CA,"San Francisco-Oakland-Berkeley, CA",2927.7524272055957
Oak Park,CA,"Oxnard-Thousand Oaks-Ventura, CA",2926.6448758853935
Hercules,CA,"San Francisco-Oakland-Berkeley, CA",2925.773222270631
Dana Point,CA,"Los Angeles-Long Beach-Anaheim, CA",2923.1044723995005
Cerritos,CA,"Los Angeles-Long Beach-Anaheim, CA",2922.7702498080957
Peekskill,NY,"New York-Newark-Jersey City, NY-NJ-PA",2922.105029317463
Dunellen,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2920.0
Santa Clara,CA,"San Jose-Sunnyvale-Santa Clara, CA",2919.416911418472
Cohasset,MA,"Boston-Cambridge-Newton, MA-NH",2919.1056238389565
Metuchen,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2918.75
Hialeah Gardens,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2915.4479517125096
New York City,NY,"New York-Newark-Jersey City, NY-NJ-PA",2905.17196586021
Swampscott,MA,"Boston-Cambridge-Newton, MA-NH",2903.0134795609806
Weehawken,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2902.513825450562
Falmouth,ME,"Portland-South Portland, ME",2898.7314248596026
Norco,CA,"Riverside-San Bernardino-Ontario, CA",2896.0252259885347
Laguna Hills,CA,"Los Angeles-Long Beach-Anaheim, CA",2892.215190820875
Madeira Beach,FL,"Tampa-St. Petersburg-Clearwater, FL",2885.235419879691
Healdsburg,CA,"Santa Rosa-Petaluma, CA",2880.7674425457076
North Haven,CT,"New Haven-Milford, CT",2875.0
Iselin,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2870.7144533960663
Sunny Isles Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2867.3866669072445
Hilton Head Island,SC,"Hilton Head Island-Bluffton, SC",2863.4423937831107
North Haledon,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2857.5
Lakeside,CA,"San Diego-Chula Vista-Carlsbad, CA",2855.5050534942607
Mount Vernon,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2854.686222895599
Maple Valley,WA,"Seattle-Tacoma-Bellevue, WA",2849.275412603997
Lathrop,CA,"Stockton, CA",2849.069247515483
Carmel,NY,"New York-Newark-Jersey City, NY-NJ-PA",2844.347135211089
Bay Harbor Islands,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2842.387802666779
Princeton,NJ,"Trenton-Princeton, NJ",2842.191310812885
Cedar Knolls,NJ,"New York-Newark-Jersey City, NY-NJ-PA",2840.6465440911415
Milpitas,CA,"San Jose-Sunnyvale-Santa Clara, CA",2839.372822905277
Hypoluxo,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",2837.38726938732
Willingboro Township,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2831.297606686934
